case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
rate50_thermal,990.0,0.48403378665155883,0.010200692849852424,4.424499361163024e-08,1.0,1.0,11300713.576520214
rate50_thermal,1020.0,0.48403413289223896,0.010201908269414115,4.424501075646854e-08,1.0,1.0,11300709.197520105
rate50_thermal,1050.0,0.4840350271468359,0.010205034592266907,4.424506095040354e-08,1.0,1.0,11300696.377398474
rate50_thermal,1080.0,0.48403718990797995,0.01021275731545465,4.424519058857632e-08,1.0,1.0,11300663.266418274
rate50_thermal,1110.0,0.4840422373570089,0.010231119180916404,4.424550412133071e-08,1.0,1.0,11300583.187591042
rate50_thermal,1140.0,0.4840536272058531,0.010273213352814947,4.4246235853964387e-08,1.0,1.0,11300396.30151275
rate50_thermal,1170.0,0.4840785184510815,0.010366336852198468,4.4247887101479504e-08,1.0,1.0,11299974.592081293
rate50_thermal,1204.966981975645,0.4841620131053893,0.010680447225156934,4.425951817496324e-08,1.0,1.0,11297005.042473337
rate50_thermal,1236.772384270359,0.4843399021595137,0.01133750994693462,4.428493912421312e-08,1.0,1.0,11290520.20592304
rate50_thermal,1268.9655781509232,0.4847126356373761,0.01264890097779813,4.433817835650452e-08,1.0,1.0,11276963.071863523
rate50_thermal,1299.4098196654525,0.48538738176771634,0.014831831168320575,4.443463454019873e-08,1.0,1.0,11252483.68021716
rate50_thermal,1329.6379564333563,0.486585568585602,0.01827862919243233,4.4606256703135865e-08,1.0,1.0,11209189.852616562
rate50_thermal,1360.1511907113836,0.48866011392856634,0.023441098901431232,4.490449343791193e-08,0.9999999999999998,0.9999999999999998,11134743.134143908
rate50_thermal,1390.4580101832605,0.4920644530459618,0.030665853695672873,4.539699033480583e-08,0.9999999999843334,0.9999999999843381,11013945.997575317
rate50_thermal,1420.8751784378146,0.4975141942973448,0.0405185154803159,4.619374192576795e-08,0.9999999155107637,0.999999915533698,10823976.996786404
rate50_thermal,1451.1835120592593,0.5058839328696623,0.05353674849626834,4.7439084000758034e-08,0.9999485117645571,0.9999485242334732,10539832.514304249
rate50_thermal,1481.9123482449745,0.5182820225235277,0.0707376221852229,4.934283767474763e-08,0.9940184107570101,0.9940196554890312,10133182.921011591
rate50_thermal,1512.3713583712722,0.5345401941251495,0.0916233518411884,5.194705195045235e-08,0.8600633427674511,0.8600875114746438,9625185.284371966
rate50_thermal,1543.8415939113934,0.5568893533132266,0.11179790134326628,5.572100754675812e-08,0.5211900097381397,0.5212549297649485,8973276.364043247
rate50_thermal,1575.3688315170473,0.5877364025023164,0.12979389273505,6.15889365825065e-08,0.37319426093603264,0.37325527579253914,8118341.1785359215
rate50_thermal,1606.2809522068617,0.6283833517619536,0.15068668006201663,7.098709358368009e-08,0.3532097851887006,0.3532496909819821,7043533.898321904
rate50_thermal,1636.9769183620729,0.678606996672185,0.1802434919757853,8.620761928045762e-08,0.3957217969926968,0.39574202037027817,5799951.375218465
rate50_thermal,1667.5113838034313,0.7333341058677088,0.22435193307914775,1.0995890959522637e-07,0.4689097240896115,0.468918054507281,4547153.130570025
rate50_thermal,1697.7258823558097,0.7859055842314211,0.2877160971246644,1.4529754068880116e-07,0.5625038335048277,0.562506729822526,3441214.4736221097
rate50_thermal,1728.6970605100046,0.8345661452791827,0.3801566801620389,2.0012055319672583e-07,0.6882613842834219,0.6882621535903939,2498493.992810832
rate50_thermal,1759.4608636234027,0.8754405059279425,0.5073205633791709,2.8272755549894165e-07,0.8280280684796829,0.828028215204703,1768486.9772160274
rate50_thermal,1770.0,0.8875606561695272,0.5599609887944867,3.2012124434286676e-07,0.8725615216913195,0.8725615959551859,1561908.2108292494
iso_1100C_40h,0.9327688552694177,0.4840594051271092,0.010302,4.424498564604725e-08,1.0,1.0,11300715.611028092
iso_1100C_40h,608.3253458643064,0.4964013542626915,0.038312711104952664,4.603177615423131e-08,0.9999999820782611,0.9999999820840384,10862061.85754662
iso_1100C_40h,1216.2235821693755,0.5045931120106592,0.05320448205303959,4.725381381663406e-08,0.9999511109199654,0.9999511254887689,10581156.516598295
iso_1100C_40h,1833.8715987942892,0.5109462217172291,0.06491957908170926,4.822014971215476e-08,0.9980826229306111,0.9980831606455599,10369109.241358617
iso_1100C_40h,2442.6289628644495,0.5161825282970807,0.07462338208866534,4.9029472481904374e-08,0.9835346780986763,0.9835390708310078,10197947.778951492
iso_1100C_40h,3076.620224563612,0.520950369851111,0.08325494531743544,4.977503916547553e-08,0.930606094894464,0.9306237889669565,10045195.511303686
iso_1100C_40h,3683.108392185205,0.5250630508521081,0.09015317581368411,5.042211445908813e-08,0.8350940524311109,0.8351345024447214,9916283.864011569
iso_1100C_40h,4397.348654922847,0.5295168524380005,0.09665640689456938,5.112528052666675e-08,0.7017600925387427,0.7018302717517518,9779897.437221922
iso_1100C_40h,5086.19228275304,0.5335294689720246,0.10158685505274737,5.176236159214686e-08,0.5904519830203229,0.5905448403430033,9659528.364251789
iso_1100C_40h,5800.158885129606,0.5374738802949779,0.10571168873117767,5.239467809114907e-08,0.503711708349779,0.5038202083151075,9542953.945249338
iso_1100C_40h,6462.005939260478,0.5409781680270713,0.1089148586114211,5.296352473864624e-08,0.4448909027648382,0.4450083946388603,9440459.306046937
iso_1100C_40h,7256.814596440876,0.5450294987711533,0.11221508774220576,5.363131309822985e-08,0.39360413447879394,0.3937277475673103,9322911.76768713
iso_1100C_40h,8155.107770546195,0.5494349355139378,0.11544016967372801,5.439936948798415e-08,0.3513046109598351,0.35143132549265255,9191283.000264205
iso_1100C_40h,8755.107770546194,0.5522876370269851,0.11737489448672844,5.4914605196122355e-08,0.3299802417605354,0.33010747295149495,9105045.883773487
iso_1100C_40h,9355.107770546194,0.5550763998842263,0.11917591782113969,5.542389410161041e-08,0.3129265239030809,0.3130534304147964,9021379.823715271
iso_1100C_40h,9955.107770546194,0.5578065485867088,0.12086857768303236,5.5928065461787726e-08,0.29908334795614056,0.2992093422763024,8940055.334859023
iso_1100C_40h,10555.107770546194,0.5604824344948977,0.12247193495867989,5.642777495671436e-08,0.2877038780622743,0.28782854687991755,8860884.562319692
iso_1100C_40h,11155.107770546194,0.563107685522164,0.12400063756749086,5.692355177183427e-08,0.27825036426279853,0.27837341624361794,8783710.510618553
iso_1100C_40h,11755.107770546194,0.5656853783056474,0.1254661551548472,5.7415830507614135e-08,0.27032750974821346,0.2704487405323533,8708399.679661397
iso_1100C_40h,12355.107770546194,0.5682181603003236,0.12687761788307786,5.7904973443125627e-08,0.26363913822460283,0.26375840646306453,8634836.87616403
