rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.664,75.22455195329447,75.34537117370601,0.9983964612751989,-0.16061141911029542,-0.0016048257690896776,LS007,240.0,1.0
0.665,75.24811450118625,75.38605410419429,0.9981702238610687,-0.18331303571182664,-0.0018314522241765403,LS007,240.0,1.0
0.65,75.00000000000001,75.00000000000001,1.0,0.0,0.0,LS007,500.0,1.0
0.651,75.0090346564583,75.0103553126418,0.9999823936818056,-0.0017606628182294086,-1.7606473187402514e-05,LS007,500.0,1.0
0.652,75.01970051798165,75.02356944399888,0.9999484305259546,-0.005157213359317489,-5.157080379643082e-05,LS007,500.0,1.0
0.653,75.03142322649244,75.03899000893432,0.9998991619897738,-0.01008481795559576,-0.00010084309472016366,LS007,500.0,1.0
0.654,75.04412549225842,75.05649762197011,0.9998351624429106,-0.016486473298925053,-0.00016485114429265843,LS007,500.0,1.0
0.655,75.05779443157155,75.07607072071475,0.9997565630570733,-0.02434962189018767,-0.00024346657850900783,LS007,500.0,1.0
0.656,75.07240417496317,75.0976978971089,0.9996631891142603,-0.033692436553362064,-0.0003368676192653823,LS007,500.0,1.0
0.657,75.08799279198577,75.1213549132122,0.9995558903155437,-0.04443070055002545,-0.00044420833036969403,LS007,500.0,1.0
0.658,75.10452371748335,75.14706037125632,0.9994339545211374,-0.05663660678147425,-0.0005662057430854477,LS007,500.0,1.0
0.659,75.1220293823722,75.1748525724091,0.999297328983971,-0.07031651097711779,-0.000702918005015551,LS007,500.0,1.0
0.66,75.14052272707987,75.2047313165445,0.9991462160911876,-0.08545134786703718,-0.000854148589881212,LS007,500.0,1.0
0.661,75.15999142797023,75.23670221212011,0.9989804074089584,-0.10206332211120232,-0.0010201127291501137,LS007,500.0,1.0
0.662,75.18047412219123,75.27079605693406,0.9988000401287837,-0.1201401504811358,-0.0012006803995236596,LS007,500.0,1.0
0.663,75.20200109195541,75.30701554483534,0.9986055156731393,-0.13964316288807063,-0.0013954575249745577,LS007,500.0,1.0
0.664,75.22455195329447,75.34537117370601,0.9983964612751989,-0.16061141911029542,-0.0016048257690896776,LS007,500.0,1.0
0.665,75.24811450118625,75.38605410419429,0.9981702238610687,-0.18331303571182664,-0.0018314522241765403,LS007,500.0,1.0
0.7000000000000001,100.00000000000001,100.00000000000001,1.0,0.0,0.0,LS008,96.0,1.0
0.7010000000000001,100.02017058450829,100.1426539791036,0.9987769108394026,-0.12245869396095341,-0.001223837744597058,LS008,96.0,1.0
0.7000000000000001,100.00000000000001,100.00000000000001,1.0,0.0,0.0,LS008,240.0,1.0
0.7010000000000001,100.02017058450829,100.1426539791036,0.9987769108394026,-0.12245869396095341,-0.001223837744597058,LS008,240.0,1.0
0.7000000000000001,100.00000000000001,100.00000000000001,1.0,0.0,0.0,LS008,500.0,1.0
0.7010000000000001,100.02017058450829,100.1426539791036,0.9987769108394026,-0.12245869396095341,-0.001223837744597058,LS008,500.0,1.0
0.7000000000000001,150.00000000000003,150.00000000000003,1.0,0.0,0.0,LS009,96.0,1.0
